A¤o,Mes,Sexo,Cantidad_muertes
2007,Enero,Hombre,122
2007,Febrero,Hombre,123
2007,Marzo,Hombre,135
2007,Abril,Hombre,128
2007,Mayo,Hombre,105
2007,Junio,Hombre,118
2007,Julio,Hombre,115
2007,Agosto,Hombre,121
2007,Septiembre,Hombre,141
2007,Octubre,Hombre,115
2007,Noviembre,Hombre,125
2007,Diciembre,Hombre,162
2007,Enero,Mujer,24
2007,Febrero,Mujer,13
2007,Marzo,Mujer,21
2007,Abril,Mujer,19
2007,Mayo,Mujer,12
2007,Junio,Mujer,17
2007,Julio,Mujer,21
2007,Agosto,Mujer,20
2007,Septiembre,Mujer,19
2007,Octubre,Mujer,19
2007,Noviembre,Mujer,21
2007,Diciembre,Mujer,31
2008,Enero,Hombre,152
2008,Febrero,Hombre,135
2008,Marzo,Hombre,184
2008,Abril,Hombre,126
2008,Mayo,Hombre,120
2008,Junio,Hombre,133
2008,Julio,Hombre,127
2008,Agosto,Hombre,124
2008,Septiembre,Hombre,105
2008,Octubre,Hombre,121
2008,Noviembre,Hombre,119
2008,Diciembre,Hombre,164
2008,Enero,Hombre,11
2008,Febrero,Mujer,26
2008,Marzo,Mujer,19
2008,Abril,Mujer,27
2008,Mayo,Mujer,8
2008,Junio,Mujer,9
2008,Julio,Mujer,19
2008,Agosto,Mujer,25
2008,Septiembre,Mujer,20
2008,Octubre,Mujer,19
2008,Noviembre,Mujer,24
2008,Diciembre,Mujer,29
2009,Enero,Hombre,116
2009,Febrero,Hombre,147
2009,Marzo,Hombre,118
2009,Abril,Hombre,142
2009,Mayo,Hombre,159
2009,Junio,Hombre,127
2009,Julio,Hombre,151
2009,Agosto,Hombre,131
2009,Septiembre,Hombre,124
2009,Octubre,Hombre,118
2009,Noviembre,Hombre,154
2009,Diciembre,Hombre,170
2009,Enero,Mujer,15
2009,Febrero,Mujer,17
2009,Marzo,Mujer,14
2009,Abril,Mujer,25
2009,Mayo,Mujer,11
2009,Junio,Mujer,17
2009,Julio,Mujer,14
2009,Agosto,Mujer,24
2009,Septiembre,Mujer,22
2009,Octubre,Mujer,14
2009,Noviembre,Mujer,23
2009,Diciembre,Mujer,20
2010,Enero,Hombre,152
2010,Febrero,Hombre,155
2010,Marzo,Hombre,138
2010,Abril,Hombre,177
2010,Mayo,Hombre,175
2010,Junio,Hombre,127
2010,Julio,Hombre,144
2010,Agosto,Hombre,177
2010,Septiembre,Hombre,113
2010,Octubre,Hombre,164
2010,Noviembre,Hombre,147
2010,Diciembre,Hombre,193
2010,Enero,Mujer,20
2010,Febrero,Mujer,33
2010,Marzo,Mujer,21
2010,Abril,Mujer,21
2010,Mayo,Mujer,33
2010,Junio,Mujer,27
2010,Julio,Mujer,21
2010,Agosto,Mujer,17
2010,Septiembre,Mujer,23
2010,Octubre,Mujer,30
2010,Noviembre,Mujer,12
2010,Diciembre,Mujer,12
2011,Enero,Hombre,157
2011,Febrero,Hombre,124
2011,Marzo,Hombre,152
2011,Abril,Hombre,133
2011,Mayo,Hombre,129
2011,Junio,Hombre,115
2011,Julio,Hombre,137
2011,Agosto,Hombre,112
2011,Septiembre,Hombre,89
2011,Octubre,Hombre,140
2011,Noviembre,Hombre,120
2011,Diciembre,Hombre,176
2011,Enero,Mujer,23
2011,Febrero,Mujer,17
2011,Marzo,Mujer,25
2011,Abril,Mujer,22
2011,Mayo,Mujer,20
2011,Junio,Mujer,18
2011,Julio,Mujer,18
2011,Agosto,Mujer,25
2011,Septiembre,Mujer,18
2011,Octubre,Mujer,16
2011,Noviembre,Mujer,18
2011,Diciembre,Mujer,29
2012,Enero,Hombre,129
2012,Febrero,Hombre,134
2012,Marzo,Hombre,131
2012,Abril,Hombre,154
2012,Mayo,Hombre,113
2012,Junio,Hombre,128
2012,Julio,Hombre,117
2012,Agosto,Hombre,81
2012,Septiembre,Hombre,115
2012,Octubre,Hombre,128
2012,Noviembre,Hombre,119
2012,Diciembre,Hombre,176
2012,Enero,Mujer,24
2012,Febrero,Mujer,14
2012,Marzo,Mujer,17
2012,Abril,Mujer,19
2012,Mayo,Mujer,18
2012,Junio,Mujer,10
2012,Julio,Mujer,27
2012,Agosto,Mujer,16
2012,Septiembre,Mujer,26
2012,Octubre,Mujer,19
2012,Noviembre,Mujer,31
2012,Diciembre,Mujer,22
2013,Enero,Hombre,143
2013,Febrero,Hombre,141
2013,Marzo,Hombre,129
2013,Abril,Hombre,126
2013,Mayo,Hombre,120
2013,Junio,Hombre,126
2013,Julio,Hombre,141
2013,Agosto,Hombre,133
2013,Septiembre,Hombre,134
2013,Octubre,Hombre,157
2013,Noviembre,Hombre,134
2013,Diciembre,Hombre,187
2013,Enero,Mujer,19
2013,Febrero,Mujer,20
2013,Marzo,Mujer,25
2013,Abril,Mujer,20
2013,Mayo,Mujer,27
2013,Junio,Mujer,19
2013,Julio,Mujer,24
2013,Agosto,Mujer,17
2013,Septiembre,Mujer,17
2013,Octubre,Mujer,12
2013,Noviembre,Mujer,9
2013,Diciembre,Mujer,12
2014,Enero,Hombre,142
2014,Febrero,Hombre,129
2014,Marzo,Hombre,137
2014,Abril,Hombre,135
2014,Mayo,Hombre,120
2014,Junio,Hombre,118
2014,Julio,Hombre,145
2014,Agosto,Hombre,114
