Año,Total,Choque o colisión,Vuelco o volcadura,Atropellamiento,Caída,Deslizamiento,Estrellamiento,Aplastamiento,Otros,No declarado
2007,"1,581",780,91,455,29,179,47,0,0,0
2008,"1,648",838,127,424,29,203,27,0,0,0
2009,"1,694",890,116,420,25,218,24,1,0,0
2010,"1,959","1,024",150,493,30,248,14,0,0,0
2011,"1,645",895,82,382,11,191,82,1,0,1
2012,"1,571",847,52,347,19,214,88,0,0,4
2013,"1,695",909,2,360,26,294,101,0,0,3
2014,"1,670",925,22,343,13,263,102,0,0,2
2015,"1,732",980,9,319,16,309,99,0,0,0
2016,"1,804","1,055",7,311,13,356,62,0,0,0
2017,"1,464",837,6,266,6,289,60,0,0,0
2018,"1,295",752,4,233,6,253,47,0,0,0
2019,"1,876","1,091",8,300,11,380,81,4,0,1
2020,"1,564",940,2,209,7,340,63,2,0,1
2021,"1,725","1,068",4,220,12,354,59,6,2,0
2022,"1,636",960,7,262,13,319,74,1,0,0
2023,"1,753","1,022",2,262,11,369,84,3,0,0
