Anos,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total,"1,581","1,648","1,694","1,959","1,645","1,571","1,695","1,670","1,732","1,804","1,464","1,295","1,876","1,564","1,725","1,636","1,753"
00:01-02:00,85,94,114,157,157,143,167,142,131,130,58,81,161,62,132,141,178
02:01-04:00,63,83,89,124,113,108,111,122,150,107,45,95,126,36,64,126,134
04:01-06:00,89,61,91,101,87,72,110,99,104,103,44,71,117,57,77,98,111
06:01-08:00,110,114,123,127,121,103,100,140,142,132,73,104,127,112,127,137,138
08:01-10:00,161,148,141,148,111,115,97,130,135,165,110,110,141,128,112,106,108
10:01-12:00,192,167,157,167,125,109,114,122,161,158,117,138,167,158,139,113,109
12:01-14:00,126,124,143,138,123,103,108,112,118,142,96,133,141,140,148,119,124
14:01-16:00,126,158,143,183,136,122,125,127,117,160,76,103,143,163,139,127,134
16:01-18:00,184,163,166,179,146,147,154,166,160,159,101,111,179,223,177,132,161
18:01-20:00,185,197,151,226,194,207,244,192,199,215,135,157,227,234,211,191,208
20:01-22:00,156,194,216,227,194,203,210,180,210,202,104,101,190,188,251,209,187
22:01-24:00,104,132,160,182,138,139,154,138,105,131,67,91,157,62,145,137,161
No declarada,0,13,0,0,0,0,1,0,0,0,438,0,0,1,3,0,0
