Ano ,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo
2007,275,197,183,194,206,295,397
2008,279,200,168,215,216,326,442
2009,285,201,178,220,249,281,459
2010,308,221,187,211,259,365,581
2011,260,181,173,169,194,341,515
2012,291,171,166,159,174,308,499
2013,313,195,170,175,198,301,540
2014,309,156,201,221,209,304,455
2015,296,186,177,261,226,308,492
2016,330,208,190,198,230,353,482
2017,274,162,158,189,174,240,390
2018,248,168,194,133,154,185,345
2019,321,225,204,243,225,314,568
2020,293,178,190,169,215,311,381
2021,300,195,179,211,235,275,479
2022,304,215,141,180,223,298,433
2023,337,195,189,195,241,307,485
