Ano,Region ,Hombre,Mujer
2007,Región Ozama,385,61
2007,Distrito Nacional,99,18
2007,Santo Domingo,286,43
2007,Región Cibao Norte,225,22
2007,Espaillat,45,3
2007,Puerto Plata,74,8
2007,Santiago,106,11
2007,Región Cibao Sur,138,41
2007,La Vega,50,21
2007,Sánchez Ramírez,15,4
2007,Monseñor Nouel,73,16
2007,Región Cibao Nordeste,118,18
2007,Duarte,50,11
2007,María Trinidad Sánchez,24,5
2007,Hermanas Mirabal,5,0
2007,Samaná,39,2
2007,Región Cibao Noroeste,67,10
2007,Dajabón,14,2
2007,Monte Cristi,11,4
2007,Santiago Rodríguez,11,0
2007,Valverde,31,4
2007,Región Valdesia,172,25
2007,Peravia,40,5
2007,San Cristóbal,128,20
2007,San José de Ocoa,4,0
2007,Región Enriquillo,60,10
2007,Baoruco,11,3
2007,Barahona,34,7
2007,Independencia,13,0
2007,Pedernales,2,0
2007,Región El Valle,66,13
2007,Azua,31,4
2007,Elías Piña,5,0
2007,San Juan,30,9
2007,Región Yuma,173,20
2007,El Seibo,15,2
2007,La Altagracia,119,12
2007,La Romana,39,6
2007,Región Higuamo,106,17
2007,San Pedro de Macorís,52,8
2007,Monte Plata,35,6
2007,Hato Mayor,19,3
2007,No declarado ,0,0
2008,Región Ozama,433,62
2008,Distrito Nacional,109,14
2008,Santo Domingo,324,48
2008,Región Cibao Norte,208,28
2008,Espaillat,35,5
2008,Puerto Plata,78,10
2008,Santiago,95,13
2008,Región Cibao Sur,181,29
2008,La Vega,75,10
2008,Sánchez Ramírez,39,3
2008,Monseñor Nouel,67,16
2008,Región Cibao Nordeste,113,22
2008,Duarte,54,9
2008,María Trinidad Sánchez,23,7
2008,Hermanas Mirabal,8,0
2008,Samaná,28,6
2008,Región Cibao Noroeste,53,9
2008,Dajabón,15,4
2008,Monte Cristi,11,1
2008,Santiago Rodríguez,7,1
2008,Valverde,20,3
2008,Región Valdesia,201,29
2008,Peravia,41,8
2008,San Cristóbal,153,21
2008,San José de Ocoa,7,0
2008,Región Enriquillo,51,4
2008,Baoruco,10,2
2008,Barahona,30,0
2008,Independencia,7,2
2008,Pedernales,4,0
2008,Región El Valle,77,10
2008,Azua,40,10
2008,Elías Piña,5,0
2008,San Juan,32,0
2008,Región Yuma,166,25
2008,El Seibo,14,1
2008,La Altagracia,117,14
2008,La Romana,35,10
2008,Región Higuamo,127,18
2008,San Pedro de Macorís,72,10
2008,Monte Plata,40,6
2008,Hato Mayor,15,2
2008,No declarado ,0,0
2009,Región Ozama,401,54
2009,Distrito Nacional,103,11
2009,Santo Domingo,298,43
2009,Región Cibao Norte,254,39
2009,Espaillat,44,6
2009,Puerto Plata,74,16
2009,Santiago,136,17
2009,Región Cibao Sur,208,25
2009,La Vega,133,15
2009,Sánchez Ramírez,29,4
2009,Monseñor Nouel,46,6
2009,Región Cibao Nordeste,122,12
2009,Duarte,60,0
2009,María Trinidad Sánchez,27,8
2009,Hermanas Mirabal,4,3
2009,Samaná,31,1
2009,Región Cibao Noroeste,67,8
2009,Dajabón,12,0
2009,Monte Cristi,15,2
2009,Santiago Rodríguez,6,0
2009,Valverde,34,6
2009,Región Valdesia,204,24
2009,Peravia,38,5
2009,San Cristóbal,159,18
2009,San José de Ocoa,7,1
2009,Región Enriquillo,53,6
2009,Baoruco,12,1
2009,Barahona,28,3
2009,Independencia,10,1
2009,Pedernales,3,1
2009,Región El Valle,106,18
2009,Azua,51,5
2009,Elías Piña,6,2
2009,San Juan,49,11
2009,Región Yuma,152,8
2009,El Seibo,24,1
2009,La Altagracia,88,6
2009,La Romana,40,1
2009,Región Higuamo,90,22
2009,San Pedro de Macorís,46,9
2009,Monte Plata,36,13
2009,Hato Mayor,8,0
2009,No declarado ,0,0
2010,Región Ozama,431,65
2010,Distrito Nacional,93,10
2010,Santo Domingo,338,55
2010,Región Cibao Norte,254,39
2010,Espaillat,46,4
2010,Puerto Plata,71,7
2010,Santiago,137,28
2010,Región Cibao Sur,240,36
2010,La Vega,145,21
2010,Sánchez Ramírez,46,3
2010,Monseñor Nouel,49,12
2010,Región Cibao Nordeste,166,24
2010,Duarte,79,11
2010,María Trinidad Sánchez,42,6
2010,Hermanas Mirabal,17,0
2010,Samaná,28,7
2010,Región Cibao Noroeste,85,17
2010,Dajabón,6,3
2010,Monte Cristi,36,6
2010,Santiago Rodríguez,6,1
2010,Valverde,37,7
2010,Región Valdesia,214,31
2010,Peravia,50,4
2010,San Cristóbal,156,22
2010,San José de Ocoa,8,5
2010,Región Enriquillo,89,9
2010,Baoruco,22,1
2010,Barahona,56,7
2010,Independencia,7,1
2010,Pedernales,4,0
2010,Región El Valle,136,17
2010,Azua,53,3
2010,Elías Piña,12,2
2010,San Juan,71,12
2010,Región Yuma,135,19
2010,El Seibo,16,5
2010,La Altagracia,92,11
2010,La Romana,27,3
2010,Región Higuamo,112,13
2010,San Pedro de Macorís,48,8
2010,Monte Plata,49,2
2010,Hato Mayor,15,3
2010,No declarado ,0,0
2011,Región Ozama,344,74
2011,Distrito Nacional,83,16
2011,Santo Domingo,261,58
2011,Región Cibao Norte,205,32
2011,Espaillat,50,6
2011,Puerto Plata,76,4
2011,Santiago,79,22
2011,Región Cibao Sur,197,27
2011,La Vega,120,16
2011,Sánchez Ramírez,29,3
2011,Monseñor Nouel,48,8
2011,Región Cibao Nordeste,147,21
2011,Duarte,56,10
2011,María Trinidad Sánchez,35,5
2011,Hermanas Mirabal,29,3
2011,Samaná,27,3
2011,Región Cibao Noroeste,91,5
2011,Dajabón,10,0
2011,Monte Cristi,26,3
2011,Santiago Rodríguez,7,0
2011,Valverde,48,2
2011,Región Valdesia,198,25
2011,Peravia,54,0
2011,San Cristóbal,136,24
2011,San José de Ocoa,8,1
2011,Región Enriquillo,62,8
2011,Baoruco,12,2
2011,Barahona,33,5
2011,Independencia,9,1
2011,Pedernales,8,0
2011,Región El Valle,108,22
2011,Azua,50,14
2011,Elías Piña,10,1
2011,San Juan,48,7
2011,Región Yuma,133,19
2011,El Seibo,4,0
2011,La Altagracia,88,17
2011,La Romana,41,2
2011,Región Higuamo,99,16
2011,San Pedro de Macorís,65,11
2011,Monte Plata,25,4
2011,Hato Mayor,9,1
2011,No declarado ,0,0
2012,Región Ozama,352,67
2012,Distrito Nacional,88,18
2012,Santo Domingo,264,49
2012,Región Cibao Norte,207,30
2012,Espaillat,24,1
2012,Puerto Plata,68,7
2012,Santiago,115,22
2012,Región Cibao Sur,179,23
2012,La Vega,106,9
2012,Sánchez Ramírez,28,3
2012,Monseñor Nouel,45,11
2012,Región Cibao Nordeste,164,21
2012,Duarte,82,12
2012,María Trinidad Sánchez,41,3
2012,Hermanas Mirabal,15,4
2012,Samaná,26,2
2012,Región Cibao Noroeste,95,16
2012,Dajabón,15,4
2012,Monte Cristi,26,1
2012,Santiago Rodríguez,12,1
2012,Valverde,42,10
2012,Región Valdesia,127,21
2012,Peravia,31,6
2012,San Cristóbal,88,12
2012,San José de Ocoa,8,3
2012,Región Enriquillo,72,9
2012,Baoruco,24,1
2012,Barahona,41,6
2012,Independencia,5,1
2012,Pedernales,2,1
2012,Región El Valle,99,18
2012,Azua,41,12
2012,Elías Piña,4,0
2012,San Juan,54,6
2012,Región Yuma,132,16
2012,El Seibo,12,2
2012,La Altagracia,89,14
2012,La Romana,31,0
2012,Región Higuamo,98,22
2012,San Pedro de Macorís,53,12
2012,Monte Plata,31,6
2012,Hato Mayor,14,4
2012,No declarado ,0,0
2013,Región Ozama,364,62
2013,Distrito Nacional,96,19
2013,Santo Domingo,268,43
2013,Región Cibao Norte,255,43
2013,Espaillat,51,8
2013,Puerto Plata,90,14
2013,Santiago,114,21
2013,Región Cibao Sur,197,17
2013,La Vega,109,10
2013,Sánchez Ramírez,53,2
2013,Monseñor Nouel,35,5
2013,Región Cibao Nordeste,169,18
2013,Duarte,63,5
2013,María Trinidad Sánchez,54,10
2013,Hermanas Mirabal,25,2
2013,Samaná,27,1
2013,Región Cibao Noroeste,110,11
2013,Dajabón,16,1
2013,Monte Cristi,39,3
2013,Santiago Rodríguez,9,2
2013,Valverde,46,5
2013,Región Valdesia,159,16
2013,Peravia,37,5
2013,San Cristóbal,114,10
2013,San José de Ocoa,8,1
2013,Región Enriquillo,61,8
2013,Baoruco,18,2
2013,Barahona,32,3
2013,Independencia,6,0
2013,Pedernales,5,3
2013,Región El Valle,97,14
2013,Azua,48,7
2013,Elías Piña,6,0
2013,San Juan,43,7
2013,Región Yuma,152,19
2013,El Seibo,10,4
2013,La Altagracia,83,13
2013,La Romana,59,2
2013,Región Higuamo,107,13
2013,San Pedro de Macorís,65,7
2013,Monte Plata,28,6
2013,Hato Mayor,14,0
2013,No declarado ,0,0
2014,Región Ozama,301,54
2014,Distrito Nacional,99,13
2014,Santo Domingo,202,41
2014,Región Cibao Norte,269,43
2014,Espaillat,64,8
2014,Puerto Plata,82,12
2014,Santiago,123,23
2014,Región Cibao Sur,198,24
2014,La Vega,121,14
2014,Sánchez Ramírez,26,2
2014,Monseñor Nouel,51,8
2014,Región Cibao Nordeste,170,19
