Ano,Rango de edad,Hombre,Mujer
2007,Menos de 15 años,60,31
2007,15-19,176,30
2007,20-24,190,24
2007,25-29,157,15
2007,30-34,138,9
2007,35-39,124,16
2007,40-44,81,14
2007,45-49,77,9
2007,50-54,69,10
2007,55-59,56,8
2007,60-64,42,6
2007,65 y más,83,22
2007,No declarada,257,43
2008,Menos de 15 años,68,26
2008,15-19,172,21
2008,20-24,229,29
2008,25-29,189,18
2008,30-34,138,17
2008,35-39,122,11
2008,40-44,100,10
2008,45-49,76,15
2008,50-54,80,7
2008,55-59,56,7
2008,60-64,49,6
2008,65 y más,83,20
2008,No declarada,248,49
2009,Menos de 15 años,69,30
2009,15-19,192,29
2009,20-24,261,28
2009,25-29,197,15
2009,30-34,149,15
2009,35-39,138,9
2009,40-44,115,14
2009,45-49,97,10
2009,50-54,77,11
2009,55-59,54,7
2009,60-64,58,7
2009,65 y más,110,24
2009,No declarada,140,17
2010,Menos de 15 años,93,38
2010,15-19,188,28
2010,20-24,279,31
2010,25-29,244,26
2010,30-34,192,20
2010,35-39,149,18
2010,40-44,120,14
2010,45-49,90,13
2010,50-54,88,11
2010,55-59,68,8
2010,60-64,62,11
2010,65 y más,101,24
2010,No declarada,188,28
2011,Menos de 15 años,68,29
2011,15-19,178,36
2011,20-24,287,43
2011,25-29,189,22
2011,30-34,165,13
2011,35-39,132,15
2011,40-44,96,13
2011,45-49,90,13
2011,50-54,77,10
2011,55-59,51,7
2011,60-64,46,12
2011,65 y más,97,18
2011,No declarada,108,18
2012,Menos de 15 años,55,27
2012,15-19,154,20
2012,20-24,289,28
2012,25-29,199,22
2012,30-34,126,23
2012,35-39,126,15
2012,40-44,86,18
2012,45-49,76,13
2012,50-54,98,11
2012,55-59,55,8
2012,60-64,52,14
2012,65 y más,108,24
2012,No declarada,101,20
2013,Menos de 15 años,53,19
2013,15-19,185,28
2013,20-24,288,25
2013,25-29,194,28
2013,30-34,180,22
2013,35-39,140,12
2013,40-44,104,15
2013,45-49,85,8
2013,50-54,82,12
2013,55-59,56,5
2013,60-64,45,6
2013,65 y más,97,24
2013,No declarada,162,17
2014,Menos de 15 años,49,26
2014,15-19,165,26
2014,20-24,284,25
2014,25-29,175,13
2014,30-34,138,18
2014,35-39,127,13
2014,40-44,88,11
2014,45-49,97,15
2014,50-54,76,19
2014,55-59,61,14
2014,60-64,47,5
2014,65 y más,83,22
2014,No declarada,221,37
2015,Menos de 15 años,41,30
2015,15-19,159,18
2015,20-24,273,21
2015,25-29,188,16
2015,30-34,113,14
2015,35-39,92,17
2015,40-44,87,13
2015,45-49,83,12
2015,50-54,67,5
2015,55-59,53,12
2015,60-64,44,13
2015,65 y más,102,18
2015,No declarada,401,54
2016,Menos de 15 años,48,12
2016,15-19,166,16
2016,20-24,247,19
2016,25-29,172,18
2016,30-34,111,14
2016,35-39,112,6
2016,40-44,85,5
2016,45-49,83,9
2016,50-54,68,8
2016,55-59,51,10
2016,60-64,40,10
2016,65 y más,99,13
2016,No declarada,490,79
2017,Menos de 15 años,43,12
2017,15-19,105,14
2017,20-24,183,14
2017,25-29,143,16
2017,30-34,93,16
2017,35-39,83,8
2017,40-44,69,11
2017,45-49,53,6
2017,50-54,50,5
2017,55-59,41,1
2017,60-64,32,5
2017,65 y más,74,16
2017,No declarada,438,56
2018,Menos de 15 años,34,15
2018,15-19,81,11
2018,20-24,122,14
2018,25-29,109,20
2018,30-34,82,11
2018,35-39,66,11
2018,40-44,51,8
2018,45-49,53,9
2018,50-54,47,4
2018,55-59,36,4
2018,60-64,30,7
2018,65 y más,57,13
2018,No declarada,485,47
2019,Menos de 15 años,40,16
2019,15-19,132,16
2019,20-24,153,24
2019,25-29,134,14
2019,30-34,85,16
2019,35-39,82,10
2019,40-44,55,8
2019,45-49,49,7
2019,50-54,52,9
2019,55-59,45,7
2019,60-64,34,5
2019,65 y más,64,10
2019,No declarada,920,106
2020,Menos de 15 años,29,15
2020,15-19,92,15
2020,20-24,122,16
2020,25-29,76,14
2020,30-34,71,12
2020,35-39,55,11
2020,40-44,55,5
2020,45-49,39,8
2020,50-54,41,3
2020,55-59,28,7
2020,60-64,20,4
2020,65 y más,56,12
2020,No declarada,796,113
2021,Menos de 15 años,19,13
2021,15-19,108,14
2021,20-24,128,18
2021,25-29,86,11
2021,30-34,86,11
2021,35-39,66,9
2021,40-44,50,4
2021,45-49,38,6
2021,50-54,39,1
2021,55-59,40,4
2021,60-64,35,1
2021,65 y más,64,7
2021,No declarada,888,112
2022,Menos de 15 años,25,17
2022,15-19,84,5
2022,20-24,109,22
2022,25-29,117,6
2022,30-34,111,19
2022,35-39,108,11
2022,40-44,91,13
2022,45-49,75,6
2022,50-54,78,11
2022,55-59,59,4
2022,60-64,57,9
2022,65 y más,93,17
2022,No declarada,571,66
2023,Menos de 15 años,19,21
2023,15-19,119,16
2023,20-24,172,20
2023,25-29,115,16
2023,30-34,115,21
2023,35-39,65,17
2023,40-44,81,9
2023,45-49,45,7
2023,50-54,55,10
2023,55-59,66,6
2023,60-64,46,2
2023,65 y más,87,13
2023,No declarada,689,101
