data\personas lesionadas accidentes dia rango hora.csvA�o,Rango de hora,Lunes,Martes,Mi�rcoles,Jueves,Viernes,S�bado,Domingo
2017,00:01-02:00,54,18,19,17,31,44,49
2017,02:01-04:00,36,16,18,16,27,32,50
2017,04:01-06:00,46,18,31,27,20,37,55
2017,06:01-08:00,120,82,55,67,55,63,88
2017,08:01-10:00,201,206,211,204,180,207,168
2017,10:01-12:00,305,245,259,258,257,208,193
2017,12:01-14:00,279,205,237,173,181,186,170
2017,14:01-16:00,221,204,194,193,137,174,148
2017,16:01-18:00,169,141,182,163,158,160,149
2017,18:01-20:00,134,105,128,110,133,143,130
2017,20:01-22:00,107,90,74,82,89,126,123
2017,22:01-24:00,42,43,48,37,56,68,103
2017,No declarada,0,0,0,1,0,1,2
2019,00:01-02:00,120,34,39,46,48,77,123
2019,02:01-04:00,57,26,34,29,30,96,133
2019,04:01-06:00,99,67,47,51,48,77,118
2019,06:01-08:00,222,259,191,217,201,136,189
2019,08:01-10:00,302,287,300,335,284,281,232
2019,10:01-12:00,380,361,300,331,308,296,296
2019,12:01-14:00,318,320,334,301,269,293,254
2019,14:01-16:00,331,327,291,334,294,289,298
2019,16:01-18:00,323,336,289,288,283,292,324
2019,18:01-20:00,236,229,228,250,252,253,309
2019,20:01-22:00,157,167,140,180,159,232,281
2019,22:01-24:00,95,97,84,93,93,162,190
2019,No declarada,0,0,0,0,0,0,0
2020,00:01-02:00,60,34,35,33,16,38,46
2020,02:01-04:00,44,14,17,25,19,31,50
2020,04:01-06:00,53,35,52,26,38,50,48
2020,06:01-08:00,186,199,189,212,204,110,93
2020,08:01-10:00,230,245,271,238,260,234,179
2020,10:01-12:00,299,293,273,269,266,293,258
2020,12:01-14:00,277,301,304,304,284,289,243
2020,14:01-16:00,314,264,291,303,272,341,344
2020,16:01-18:00,301,329,309,281,302,358,484
2020,18:01-20:00,286,243,248,261,264,299,319
2020,20:01-22:00,167,128,130,135,157,155,221
2020,22:01-24:00,37,44,55,58,60,81,134
2020,No declarada,0,0,0,0,0,0,0
2021,00:01-02:00,112,61,29,46,47,118,152
2021,02:01-04:00,60,26,31,40,42,60,114
2021,04:01-06:00,70,59,73,69,78,79,80
2021,06:01-08:00,230,274,262,213,225,152,152
2021,08:01-10:00,298,271,299,308,285,264,238
2021,10:01-12:00,276,261,291,272,377,306,293
2021,12:01-14:00,296,286,257,306,302,301,320
2021,14:01-16:00,297,292,301,243,362,337,330
2021,16:01-18:00,321,317,340,290,409,324,422
2021,18:01-20:00,256,257,286,293,292,318,443
2021,20:01-22:00,184,155,183,201,270,335,353
2021,22:01-24:00,68,56,77,104,167,172,206
2021,No declarada,0,0,0,0,0,0,0
2022,00:01-02:00,182,42,60,47,74,103,183
2022,02:01-04:00,119,38,39,35,33,115,178
2022,04:01-06:00,102,51,58,63,107,103,139
2022,06:01-08:00,276,244,255,261,266,207,194
2022,08:01-10:00,322,303,313,343,301,275,228
2022,10:01-12:00,239,269,253,283,285,412,349
2022,12:01-14:00,289,277,288,254,275,312,318
2022,14:01-16:00,280,293,267,282,293,263,294
2022,16:01-18:00,289,309,319,349,331,319,381
2022,18:01-20:00,268,241,244,239,286,335,412
2022,20:01-22:00,189,165,170,201,211,279,353
2022,22:01-24:00,98,100,69,91,139,168,228
2022,No declarada,0,0,0,0,0,0,0
2023,00:01-02:00,163,79,48,37,74,87,187
2023,02:01-04:00,124,35,51,33,45,124,214
2023,04:01-06:00,97,47,61,52,71,109,151
2023,06:01-08:00,239,260,275,260,228,179,174
2023,08:01-10:00,250,275,262,278,261,242,241
2023,10:01-12:00,251,245,220,203,257,301,289
2023,12:01-14:00,261,253,233,228,250,316,282
2023,14:01-16:00,237,263,220,224,280,301,301
2023,16:01-18:00,271,289,300,328,313,317,401
2023,18:01-20:00,247,280,264,248,307,352,394
2023,20:01-22:00,173,201,193,179,238,284,342
2023,22:01-24:00,121,84,106,121,104,238,236
2023,No declarada,20,12,6,5,6,33,22
2024,00:01-02:00,171,61,57,67,87,135,228
2024,02:01-04:00,129,36,42,43,59,133,258
2024,04:01-06:00,107,52,59,74,87,122,147
2024,06:01-08:00,314,280,266,283,246,149,198
2024,08:01-10:00,309,324,225,336,274,266,247
2024,10:01-12:00,245,259,278,226,286,299,255
2024,12:01-14:00,311,279,256,244,278,325,303
2024,14:01-16:00,263,264,261,279,291,332,318
2024,16:01-18:00,362,305,286,296,320,366,455
2024,18:01-20:00,331,338,312,281,339,386,414
2024,20:01-22:00,233,215,213,210,224,301,334
2024,22:01-24:00,132,128,103,124,138,263,272
2024,No declarada,0,0,0,0,0,0,0
