Año,Mes,Rango de hora,Cantidad_muertes
2017,Enero,00:01-02:00,24
2017,Febrero,00:01-02:00,23
2017,Marzo,00:01-02:00,25
2017,Abril,00:01-02:00,24
2017,Mayo,00:01-02:00,32
2017,Junio,00:01-02:00,22
2017,Julio,00:01-02:00,8
2017,Agosto,00:01-02:00,14
2017,Septiembre,00:01-02:00,15
2017,Octubre,00:01-02:00,18
2017,Noviembre,00:01-02:00,9
2017,Diciembre,00:01-02:00,18
2017,Enero,02:01-04:00,29
2017,Febrero,02:01-04:00,16
2017,Marzo,02:01-04:00,12
2017,Abril,02:01-04:00,13
2017,Mayo,02:01-04:00,10
2017,Junio,02:01-04:00,30
2017,Julio,02:01-04:00,24
2017,Agosto,02:01-04:00,8
2017,Septiembre,02:01-04:00,13
2017,Octubre,02:01-04:00,12
2017,Noviembre,02:01-04:00,11
2017,Diciembre,02:01-04:00,17
2017,Enero,04:01-06:00,37
2017,Febrero,04:01-06:00,24
2017,Marzo,04:01-06:00,24
2017,Abril,04:01-06:00,14
2017,Mayo,04:01-06:00,30
2017,Junio,04:01-06:00,18
2017,Julio,04:01-06:00,9
2017,Agosto,04:01-06:00,25
2017,Septiembre,04:01-06:00,9
2017,Octubre,04:01-06:00,21
2017,Noviembre,04:01-06:00,7
2017,Diciembre,04:01-06:00,16
2017,Enero,06:01-08:00,55
2017,Febrero,06:01-08:00,54
2017,Marzo,06:01-08:00,48
2017,Abril,06:01-08:00,43
2017,Mayo,06:01-08:00,49
2017,Junio,06:01-08:00,69
2017,Julio,06:01-08:00,28
2017,Agosto,06:01-08:00,36
2017,Septiembre,06:01-08:00,38
2017,Octubre,06:01-08:00,35
2017,Noviembre,06:01-08:00,40
2017,Diciembre,06:01-08:00,35
2017,Enero,08:01-10:00,114
2017,Febrero,08:01-10:00,119
2017,Marzo,08:01-10:00,136
2017,Abril,08:01-10:00,127
2017,Mayo,08:01-10:00,106
2017,Junio,08:01-10:00,178
2017,Julio,08:01-10:00,68
2017,Agosto,08:01-10:00,109
2017,Septiembre,08:01-10:00,84
2017,Octubre,08:01-10:00,162
2017,Noviembre,08:01-10:00,94
2017,Diciembre,08:01-10:00,80
2017,Enero,10:01-12:00,163
2017,Febrero,10:01-12:00,118
2017,Marzo,10:01-12:00,160
2017,Abril,10:01-12:00,134
2017,Mayo,10:01-12:00,134
2017,Junio,10:01-12:00,230
2017,Julio,10:01-12:00,103
2017,Agosto,10:01-12:00,150
2017,Septiembre,10:01-12:00,138
2017,Octubre,10:01-12:00,155
2017,Noviembre,10:01-12:00,146
2017,Diciembre,10:01-12:00,94
2017,Enero,12:01-14:00,145
2017,Febrero,12:01-14:00,108
2017,Marzo,12:01-14:00,138
2017,Abril,12:01-14:00,125
2017,Mayo,12:01-14:00,110
2017,Junio,12:01-14:00,182
2017,Julio,12:01-14:00,92
2017,Agosto,12:01-14:00,99
2017,Septiembre,12:01-14:00,74
2017,Octubre,12:01-14:00,150
2017,Noviembre,12:01-14:00,114
