Provincia,Año,Autopista,Avenida,Calle,Carretera,Elevado,Tunel,Puente,Autovía,Bulevar,Cruce,Camino vecinal,Otras,No daclarada
Distrito Nacional,2017,68,2385,1073,31,5,1,11,3,0,0,0,5,30
Azua,2017,0,12,45,150,0,0,0,0,0,0,0,0,2
Baoruco,2017,0,0,28,18,0,0,0,0,0,1,0,0,2
Barahona,2017,3,5,4,27,0,0,0,0,0,0,0,0,5
Dajabón,2017,0,0,9,8,0,0,1,0,0,0,0,0,0
Duarte,2017,5,20,49,65,0,0,0,8,0,1,0,0,3
Elías Piña,2017,0,3,9,12,0,0,0,0,0,0,1,0,4
El Seibo,2017,0,3,8,29,0,0,0,0,0,0,0,0,0
Espaillat,2017,9,2,73,10,0,0,0,0,0,0,0,0,7
Independencia,2017,0,0,16,25,0,0,0,0,0,0,0,0,2
La Altagracia,2017,11,15,8,48,0,0,0,1,14,0,0,0,1
La Romana,2017,0,10,33,34,0,0,0,7,0,0,1,0,3
La Vega,2017,59,55,64,95,0,0,0,0,0,0,0,0,6
María Trinidad Sánchez,2017,0,0,14,82,0,0,4,0,0,0,0,0,0
Monte Cristi,2017,3,0,14,15,0,0,0,0,0,0,0,0,2
Pedernales,2017,0,0,6,16,0,0,0,0,0,0,0,0,1
Peravia,2017,0,3,39,149,0,0,0,0,0,0,0,0,5
Puerto Plata,2017,1,6,5,38,0,0,0,0,0,0,0,0,4
Hermanas Mirabal,2017,0,1,28,26,0,0,0,0,0,0,0,0,6
Samaná,2017,10,5,69,46,0,0,0,0,4,0,0,0,4
San Cristóbal,2017,162,32,122,127,0,0,0,0,0,0,0,0,8
San Juan,2017,5,1,37,38,0,0,2,0,0,0,5,0,10
San Pedro de Macorís,2017,10,20,27,84,0,0,0,21,15,0,0,0,3
Sánchez Ramírez,2017,0,0,12,26,0,0,0,0,0,0,3,0,0
Santiago,2017,70,228,186,176,0,0,0,0,0,0,1,1,5
Santiago Rodríguez,2017,0,0,1,19,0,0,0,0,0,0,0,0,0
Valverde,2017,14,7,6,29,0,0,0,0,0,0,0,0,0
Monseñor Nouel,2017,117,11,37,9,0,0,0,0,0,0,0,0,6
Monte Plata,2017,7,0,1,16,0,0,0,0,0,0,0,0,7
Hato Mayor,2017,2,0,7,37,0,0,0,0,0,0,0,0,1
San José de Ocoa,2017,0,1,7,5,0,0,0,0,0,0,0,0,5
Santo Domingo,2017,643,1223,640,378,4,0,17,10,0,0,0,3,17
No declarada,2017,0,0,0,0,0,0,0,0,0,0,0,0,1
Distrito Nacional,2019,157,2817,1302,65,7,4,9,3,0,0,0,4,45
Azua,2019,0,0,39,137,0,0,0,0,0,0,0,0,18
Baoruco,2019,0,0,60,48,0,0,0,0,0,0,0,0,13
Barahona,2019,0,28,22,61,0,0,0,0,0,0,0,0,15
Dajabón,2019,0,3,9,8,0,0,1,0,0,0,0,0,27
Duarte,2019,1,20,27,54,0,0,0,4,0,0,0,0,14
Elías Piña,2019,0,0,54,19,0,0,0,0,0,0,0,0,4
El Seibo,2019,1,7,12,74,0,0,0,0,0,0,0,0,1
Espaillat,2019,21,17,76,75,0,0,0,0,0,0,0,0,13
Independencia,2019,0,0,9,22,0,0,0,0,0,0,0,0,16
La Altagracia,2019,18,108,75,128,0,0,0,90,25,0,0,0,42
La Romana,2019,3,36,34,25,0,0,0,15,0,0,0,0,4
La Vega,2019,120,35,167,109,0,0,0,0,0,0,0,0,26
María Trinidad Sánchez,2019,4,5,28,108,0,0,0,0,0,0,0,0,20
Monte Cristi,2019,2,14,113,63,0,0,0,0,0,0,0,0,33
Pedernales,2019,0,2,28,5,0,0,1,0,0,0,0,0,17
Peravia,2019,2,14,77,204,0,0,0,0,0,0,0,0,1
Puerto Plata,2019,0,85,96,226,0,0,0,0,0,0,0,2,27
Hermanas Mirabal,2019,0,0,28,35,0,0,1,0,0,0,0,0,6
Samaná,2019,3,7,60,82,0,0,0,0,2,0,0,0,33
San Cristóbal,2019,158,77,354,311,0,0,0,0,0,0,0,0,24
San Juan,2019,0,14,92,83,0,0,1,0,0,0,0,0,21
San Pedro de Macorís,2019,6,74,58,79,0,0,0,105,1,0,0,0,8
Sánchez Ramírez,2019,0,9,155,18,0,0,0,0,0,0,0,0,12
Santiago,2019,256,695,380,325,0,0,1,0,0,0,0,2,32
Santiago Rodríguez,2019,0,2,23,48,0,0,0,0,0,0,0,0,2
Valverde,2019,29,16,59,52,0,0,0,0,0,0,0,0,6
Monseñor Nouel,2019,170,10,48,26,0,0,0,0,0,0,0,0,13
Monte Plata,2019,25,2,46,63,0,0,0,5,0,0,0,0,16
Hato Mayor,2019,0,0,21,44,0,0,0,0,0,0,0,0,1
San José de Ocoa,2019,0,8,22,35,0,0,0,0,0,0,0,0,6
Santo Domingo,2019,1045,2112,1191,761,2,0,19,14,0,2,0,6,144
No declarada,2019,0,0,0,0,0,0,0,0,0,0,0,0,0
Distrito Nacional,2020,88,2097,1175,33,7,3,23,0,0,0,0,14,12
Azua,2020,0,2,28,110,0,0,0,0,0,0,0,0,12
Baoruco,2020,0,2,59,37,0,0,0,0,0,0,0,0,4
Barahona,2020,0,35,29,83,0,0,0,0,0,0,0,1,6
Dajabón,2020,0,2,20,2,0,0,4,0,0,0,0,2,81
Duarte,2020,7,151,210,184,0,0,0,5,0,0,0,3,10
Elías Piña,2020,0,3,79,26,0,0,0,0,0,0,0,0,4
El Seibo,2020,0,10,9,46,0,0,0,0,0,0,0,0,6
Espaillat,2020,18,14,63,30,0,0,0,0,0,0,0,0,3
Independencia,2020,0,0,23,42,0,0,0,0,0,0,0,0,6
La Altagracia,2020,86,83,93,127,0,0,0,9,38,0,2,0,4
La Romana,2020,15,39,57,30,0,0,0,5,0,0,0,0,0
La Vega,2020,133,51,120,95,0,0,0,1,0,0,0,0,15
María Trinidad Sánchez,2020,0,21,48,109,0,0,0,0,0,0,0,0,31
Monte Cristi,2020,6,12,66,87,0,0,0,0,0,0,0,0,59
Pedernales,2020,0,0,22,14,0,0,0,0,0,0,0,1,0
Peravia,2020,0,8,51,143,0,0,0,0,0,0,0,0,2
Puerto Plata,2020,1,101,151,268,0,0,0,0,0,0,0,0,29
Hermanas Mirabal,2020,0,2,66,86,0,0,0,0,0,0,0,0,0
Samaná,2020,4,3,64,137,0,0,0,0,1,0,0,0,36
San Cristóbal,2020,233,50,273,230,0,0,1,0,0,0,0,13,8
San Juan,2020,0,0,58,54,0,0,9,0,0,0,0,5,15
San Pedro de Macorís,2020,1,121,141,103,0,0,1,131,25,0,0,1,23
Sánchez Ramírez,2020,0,8,236,36,0,0,0,0,0,0,0,0,10
Santiago,2020,228,508,344,311,0,0,0,0,0,0,0,131,41
Santiago Rodríguez,2020,0,0,12,19,0,0,0,0,0,0,0,0,4
Valverde,2020,17,10,33,45,0,0,2,0,0,0,0,0,9
Monseñor Nouel,2020,208,7,63,39,0,0,0,0,0,0,0,0,14
Monte Plata,2020,27,0,40,66,0,0,0,0,0,0,0,0,26
Hato Mayor,2020,0,0,22,59,0,0,0,2,0,0,0,1,0
San José de Ocoa,2020,0,13,35,42,0,0,0,0,0,0,0,0,5
Santo Domingo,2020,726,1424,849,610,4,2,27,2,24,0,0,53,97
No declarada,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Distrito Nacional,2021,149,2743,1351,123,4,0,25,6,0,0,0,9,26
Azua,2021,1,1,20,131,0,0,0,0,0,0,0,0,4
Baoruco,2021,0,4,49,58,0,0,0,0,0,0,0,0,2
Barahona,2021,0,30,39,88,0,0,0,0,0,1,0,1,12
Dajabón,2021,1,0,56,9,0,0,1,0,0,2,0,0,17
Duarte,2021,3,169,214,140,0,0,0,0,0,0,0,4,10
Elías Piña,2021,0,0,55,27,0,0,0,0,0,0,0,0,1
El Seibo,2021,0,17,9,61,0,0,0,0,0,0,0,1,22
Espaillat,2021,37,7,70,57,0,0,0,1,0,0,0,0,7
Independencia,2021,0,0,11,29,0,0,0,0,0,0,0,0,8
La Altagracia,2021,10,103,130,177,0,0,0,76,8,3,0,0,8
La Romana,2021,5,44,26,43,0,0,0,51,0,0,0,1,3
La Vega,2021,156,68,254,128,0,0,0,4,0,0,0,0,5
María Trinidad Sánchez,2021,8,7,52,180,0,0,0,0,0,0,0,0,30
Monte Cristi,2021,16,33,72,81,0,0,2,0,0,0,0,3,23
Pedernales,2021,0,0,29,32,0,0,0,0,0,0,0,0,0
Peravia,2021,0,4,69,136,0,0,0,0,0,0,0,0,1
Puerto Plata,2021,0,117,257,442,0,0,0,0,0,1,1,3,23
Hermanas Mirabal,2021,0,3,44,41,0,0,0,0,0,0,1,0,7
Samaná,2021,1,2,80,73,0,0,0,1,1,0,1,0,25
San Cristóbal,2021,232,74,170,230,0,0,2,0,0,0,0,1,12
San Juan,2021,0,8,77,102,0,0,1,0,0,0,0,0,13
San Pedro de Macorís,2021,1,132,193,157,0,0,1,157,53,0,0,7,23
Sánchez Ramírez,2021,0,15,199,36,0,0,0,0,0,2,0,1,18
Santiago,2021,301,867,513,469,1,0,0,1,0,3,1,5,30
Santiago Rodríguez,2021,2,0,15,22,0,0,0,0,0,0,0,0,4
Valverde,2021,34,16,81,83,0,0,0,0,0,0,0,1,8
